source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,0,False,False,True,finish_wrong,22,,m = 80k,0.3182,0.5455,0.2381,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,1,True,True,True,finish_success,29,29.0,m = rho * k * V,0.7931,0.7241,0.3929,0.034483,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,2,False,False,True,finish_wrong,18,,m = k * c,0.6667,0.6111,0.4118,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,3,True,True,True,finish_success,42,42.0,m = k * V * rho,0.5714,0.8095,0.3659,0.02381,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,4,False,False,True,finish_wrong,84,,m = 280 + 20*V + 40*k,0.7024,0.9167,0.4337,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,5,False,False,True,finish_wrong,68,,m = 140 * rho - 20 * V - 5040,0.75,0.8824,0.3731,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,6,False,False,True,finish_wrong,12,,m = C * V * rho,0.5833,0.3333,0.1818,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,7,True,True,True,finish_success,91,91.0,m = k * V * rho,0.3297,0.8901,0.1111,0.010989,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,8,False,False,False,max_steps,100,,,0.43,0.91,0.01,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,9,True,True,True,finish_success,10,10.0,m = k * rho * V,0.7,0.3,0.4444,0.1,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,10,True,True,True,finish_success,76,76.0,m = k * rho * V,0.8158,0.9079,0.1867,0.013158,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,11,False,False,True,finish_wrong,41,,m = k * 20,0.0976,0.8537,0.125,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,12,True,True,True,finish_success,21,21.0,m = rho * V * k,0.381,0.5238,0.15,0.047619,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,13,False,False,False,parse_error,4,,,1.0,0.0,0.25,0.0,'action.variable' is required when action is provided
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,14,False,False,True,finish_wrong,65,,m = -2 * rho * V + k,0.6923,0.8923,0.4531,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,15,False,False,True,finish_wrong,30,,m = 20 * V,0.7333,0.7667,0.1724,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,16,False,False,True,finish_wrong,24,,m = 21 * V,0.75,0.7083,0.2174,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,17,False,False,True,finish_wrong,53,,m = 60*rho - 30*V + 1800,0.7547,0.8679,0.2885,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,18,False,False,True,finish_wrong,44,,m = rho * k,0.1136,0.7955,0.0233,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,19,False,False,True,finish_wrong,39,,m = kV * rho,0.8205,0.8205,0.3947,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,20,False,False,True,finish_wrong,32,,m = k * V / rho,0.5,0.6875,0.1935,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,21,False,False,True,finish_wrong,39,,m = 3500 + 50V,0.4872,0.7949,0.1053,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,22,False,False,True,finish_wrong,67,,m = k * rho^2 * V,0.1493,0.8657,0.0152,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,23,False,False,True,finish_wrong,42,,m = rho^3 * V^1,0.7143,0.8333,0.1951,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,24,False,False,True,finish_wrong,25,,m = k * V / rho,0.88,0.76,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,25,False,False,True,finish_wrong,10,,m = rho * V,0.6,0.3,0.2222,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,26,True,True,True,finish_success,33,33.0,m = k * rho * V,0.5152,0.7273,0.4062,0.030303,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,27,False,False,True,finish_wrong,33,,m = V * k,0.2121,0.6364,0.0938,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,28,False,False,True,finish_wrong,30,,m = 150 * rho,0.6667,0.7667,0.3103,0.0,
leyao-li-epfl/scientific-exploration/run-udrooimt-episodes:v0,run-udrooimt-episodes,v0,29,False,False,True,finish_wrong,22,,m = 15V,0.4091,0.5909,0.1905,0.0,
